label,synonym,attnMap,sim_score,position,first
person,perceiver,0.16311984,0.73,4,bicycle
person,weasel,0.047025125,0.73,4,bicycle
person,material_body,0.09187131,0.73,4,bicycle
person,experimenter,0.10663791,0.72,4,bicycle
person,nonreligious_person,0.10844267,0.72,4,bicycle
person,Balance,0.14572671,0.7,4,bicycle
person,changer,0.1587553,0.7,4,bicycle
person,unfastener,0.036382407,0.69,4,bicycle
person,Pisces,0.064346194,0.68,4,bicycle
person,baldhead,0.07372284,0.68,4,bicycle
person,African,0.16535535,0.67,4,bicycle
person,scholar,0.17137109,0.67,4,bicycle
person,gem,0.12936908,0.66,4,bicycle
person,watcher,0.11534541,0.66,4,bicycle
person,female_person,0.11380831,0.64,4,bicycle
person,nurser,0.04253634,0.64,4,bicycle
person,tyrant,0.13022488,0.64,4,bicycle
person,outcaste,0.11856516,0.63,4,bicycle
person,polyglot,0.08725332,0.63,4,bicycle
person,fleer,0.0031177728,0.63,4,bicycle
person,possessor,0.09662452,0.63,4,bicycle
person,neighbor,0.10656461,0.62,4,bicycle
person,carrottop,0.041793108,0.62,4,bicycle
person,free_agent,0.09380926,0.61,4,bicycle
person,ancient,0.072887346,0.61,4,bicycle
person,self,0.06462875,0.61,4,bicycle
person,Caucasian,0.06777499,0.6,4,bicycle
person,Libra,0.09992444,0.59,4,bicycle
person,slave,0.2235819,0.59,4,bicycle
person,compulsive,0.17357272,0.58,4,bicycle
person,groaner,0.16447225,0.58,4,bicycle
person,appointment,0.17439851,0.57,4,bicycle
person,spouse_equivalent,0.23454931,0.57,4,bicycle
person,thin_person,0.08542654,0.57,4,bicycle
person,exponent,0.115001276,0.56,4,bicycle
person,Negro,0.16084337,0.55,4,bicycle
person,turner,0.038114768,0.55,4,bicycle
person,authority,0.24539435,0.54,4,bicycle
person,relation,0.23179619,0.53,4,bicycle
person,Capricorn,0.038181677,0.53,4,bicycle
person,relative,0.049776785,0.53,4,bicycle
person,bluecoat,0.0,0.52,4,bicycle
person,enjoyer,0.11317168,0.52,4,bicycle
person,mixed-blood,0.19122788,0.52,4,bicycle
person,introvert,0.10404793,0.51,4,bicycle
person,cloud_seeder,0.09134027,0.51,4,bicycle
person,loved_one,0.15129513,0.5,4,bicycle
person,sex_symbol,0.06893173,0.49,4,bicycle
person,deaf_person,0.046612233,0.49,4,bicycle
person,match,0.19512174,0.49,4,bicycle
person,ruler,0.057215475,0.49,4,bicycle
person,agnostic,0.14985871,0.49,4,bicycle
person,wealthy_person,0.2136629,0.48,4,bicycle
person,protester,0.14525466,0.48,4,bicycle
person,gay,0.12627585,0.48,4,bicycle
person,grammatical_category,0.13028295,0.47,4,bicycle
person,picker,0.05236972,0.46,4,bicycle
person,pisser,0.08026753,0.46,4,bicycle
person,Sagittarius,0.057020713,0.46,4,bicycle
person,chooser,0.055115517,0.45,4,bicycle
person,White_person,0.0977303,0.44,4,bicycle
person,homunculus,0.1019372,0.44,4,bicycle
person,creator,0.060258985,0.43,4,bicycle
person,Goat,0.05932846,0.43,4,bicycle
person,jewel,0.02241947,0.42,4,bicycle
person,organism,0.08289688,0.42,4,bicycle
person,shape,0.050035965,0.42,4,bicycle
person,reliever,0.0460032,0.41,4,bicycle
person,substance_abuser,0.17898005,0.4,4,bicycle
person,hater,0.0972064,0.4,4,bicycle
person,knocker,0.12665217,0.4,4,bicycle
person,money_dealer,0.17053404,0.39,4,bicycle
person,skin_and_bones,0.093246296,0.38,5,bicycle
person,equal,0.17965513,0.38,5,bicycle
person,innocent,0.13400176,0.37,5,bicycle
person,scratcher,0.12791234,0.37,5,bicycle
person,liver,0.04800229,0.36,6,bicycle
person,neighbour,0.07712591,0.36,5,bicycle
person,walk-in,0.1370668,0.36,6,bicycle
person,controversialist,0.16821727,0.35,6,bicycle
person,mouse,0.03966695,0.34,6,bicycle
person,dead_soul,0.084887385,0.34,6,bicycle
person,baby_buster,0.051303703,0.33,6,bicycle
person,Ram,0.056124218,0.33,6,bicycle
person,anti-American,0.11701125,0.33,6,bicycle
person,soul,0.07292465,0.33,6,bicycle
person,Negroid,0.17353489,0.33,6,bicycle
person,creeper,0.05350846,0.33,6,bicycle
person,Virgo,0.1038617,0.31,6,bicycle
person,actor,0.05178743,0.31,6,bicycle
person,significant_other,0.17118326,0.29,6,bicycle
person,wanter,0.11224694,0.29,6,bicycle
person,resister,0.11480035,0.27,6,bicycle
person,straight_person,0.17281067,0.26,7,bicycle
person,Gemini,0.10080361,0.26,7,bicycle
person,build,0.10815972,0.25,7,bicycle
person,mother_hen,0.1281537,0.25,7,bicycle
person,shitter,0.10430129,0.25,7,bicycle
person,divider,0.10228167,0.24,8,bicycle
person,case,0.109380305,0.24,8,bicycle
person,intellect,0.16037716,0.23,8,bicycle
person,rich_person,0.24066658,0.23,8,bicycle
person,Amerindian,0.067482546,0.22,8,bicycle
person,occultist,0.06622992,0.22,8,bicycle
person,Black_person,0.12661341,0.22,8,bicycle
person,brunette,0.12682495,0.22,8,bicycle
person,fastener,0.039806128,0.22,8,bicycle
person,face,0.12099356,0.21,9,bicycle
person,snuffer,0.0,0.21,9,bicycle
person,Fish,0.09221196,0.21,9,bicycle
person,philosopher,0.11958947,0.21,9,bicycle
person,Twin,0.24392553,0.21,9,bicycle
person,controller,0.038185056,0.2,9,bicycle
person,Aries,0.031180432,0.2,9,bicycle
person,beard,0.025059974,0.2,9,bicycle
person,seeder,0.059068125,0.2,9,bicycle
person,color-blind_person,0.23347516,0.19,9,bicycle
person,romper,0.09691567,0.17,9,bicycle
person,look-alike,0.2783087,0.17,9,bicycle
person,literate_person,0.13843894,0.17,9,bicycle
person,rectifier,0.041719723,0.16,9,bicycle
person,dancer,0.06851691,0.15,10,bicycle
person,quarter,0.04933366,0.14,10,bicycle
person,Cancer,0.29695728,0.14,10,bicycle
person,rusher,0.18590465,0.14,10,bicycle
person,bather,0.08472814,0.14,10,bicycle
person,tiger,0.10087979,0.13,10,bicycle
person,sleepyhead,0.10955543,0.13,10,bicycle
person,censor,0.113481775,0.13,10,bicycle
person,mailer,0.13783419,0.12,10,bicycle
person,kneeler,0.070074566,0.11,11,bicycle
person,kink,0.19068338,0.11,11,bicycle
person,lover,0.08476385,0.11,10,bicycle
person,bedfellow,0.069788754,0.11,10,bicycle
person,guinea_pig,0.02833143,0.1,11,bicycle
person,monolingual,0.07724571,0.1,11,bicycle
person,nude_person,0.15075992,0.1,11,bicycle
person,literate,0.14587827,0.1,11,bicycle
person,nude,0.14832637,0.09,11,bicycle
person,spoiler,0.118245155,0.09,11,bicycle
person,slipper,0.055597782,0.07,11,bicycle
person,assimilator,0.049969077,0.07,11,bicycle
person,aboriginal,0.028061893,0.06,12,bicycle
person,Scorpio,0.049607325,0.06,12,bicycle
person,intellectual,0.1524575,0.05,13,bicycle
person,bullfighter,0.060417145,0.04,14,bicycle
person,sphinx,0.092619054,0.03,15,bicycle
person,sweater,0.070878625,0.03,14,bicycle
person,anatomy,0.11881584,0.03,14,bicycle
person,doormat,0.053073402,0.03,14,bicycle
person,dresser,0.07993851,0.02,15,bicycle
person,Victorian,0.075986415,0.02,16,bicycle
person,party,0.23000765,0.02,16,bicycle
person,chameleon,0.03365566,0.02,15,bicycle
person,waiter,0.065290034,0.02,15,bicycle
person,comforter,0.09573999,0.02,15,bicycle
person,aborigine,0.10355726,0.02,17,bicycle
person,skidder,0.058123123,0.01,17,bicycle
person,cashier,0.011966231,0.0,20,bicycle
