label,synonym,attnMap,sim_score,position,first
bicycle,push-bike,0.42794004,99.02,1,same
bicycle,unicycle,0.24425721,98.39,1,same
bicycle,all-terrain_bike,0.41377214,95.95,1,same
bicycle,tandem,0.49492925,95.85,1,same
bicycle,safety_bicycle,0.5498718,95.85,1,same
bicycle,tandem_bicycle,0.6067326,92.92,1,same
bicycle,safety_bike,0.4996285,90.43,1,same
bicycle,bicycle-built-for-two,0.578342,87.84,1,same
bicycle,mountain_bike,0.3856123,86.82,1,same
bicycle,bicycle,0.5720081,84.33,1,same
bicycle,ordinary_bicycle,0.55202234,79.98,1,same
bicycle,velocipede,0.45252448,79.2,1,same
bicycle,cycle,0.45547232,73.0,1,same
bicycle,bike,0.5346065,67.48,1,same
bicycle,wheeled_vehicle,0.2262211,60.99,1,same
bicycle,ride,0.22121072,36.89,2,motorbike
bicycle,pedal,0.19092254,32.64,2,motorbike
bicycle,backpedal,0.19730183,29.3,2,motorbike
bicycle,wheel,0.082934655,17.48,2,motorbike
bicycle,ordinary,0.14465623,5.89,3,motorbike
bicycle,off-roader,0.13588452,4.38,4,motorbike
