label,synonym,attnMap,sim_score,position,first
rider,rider,0.432141,61.28,1,same
rider,equestrian,0.5769166,49.78,1,same
rider,horseback_rider,0.5469179,39.01,2,horse
rider,horseman,0.46951827,12.67,2,horse
rider,passenger,0.09981689,3.65,2,horse
rider,fare,0.0628309,3.43,2,horse
rider,traveller,0.17805117,1.65,2,horse
rider,stowaway,0.10781057,1.44,3,horse
rider,article,0.060712572,1.27,3,horse
rider,pedaler,0.252554,0.99,3,horse
rider,pedaller,0.21233094,0.84,3,horse
rider,commuter,0.23405437,0.75,3,horse
rider,traveler,0.111819394,0.6,3,horse
rider,hitchhiker,0.15348251,0.49,3,horse
rider,clause,0.03643751,0.2,5,horse
rider,straphanger,0.1670258,0.19,5,horse
rider,hang_glider,0.06050993,0.04,8,horse
