label,synonym,attnMap,sim_score,position,first
rider,pedaller,0.3102035,99.12,1,same
rider,rider,0.26772648,94.68,1,same
rider,pedaler,0.25636685,67.97,1,same
rider,commuter,0.17388159,20.73,2,bicycle
rider,horseman,0.15407756,6.02,2,bicycle
rider,hitchhiker,0.15754665,5.43,2,bicycle
rider,fare,0.07789053,4.55,2,bicycle
rider,passenger,0.11106911,3.6,2,bicycle
rider,equestrian,0.10013298,3.5,2,bicycle
rider,horseback_rider,0.15598603,2.83,2,bicycle
rider,article,0.15067145,2.41,3,bicycle
rider,clause,0.060465038,1.99,3,bicycle
rider,traveller,0.119102165,1.96,3,bicycle
rider,stowaway,0.15302192,1.37,3,bicycle
rider,traveler,0.097438656,0.97,4,bicycle
rider,straphanger,0.07829247,0.95,4,bicycle
rider,hang_glider,0.1037123,0.27,6,bicycle
